Latitude,Longitude,LocationName
51.5072,-0.1275,London
52.4800,-1.9025,Birmingham
50.8058,-1.0872,Portsmouth
50.9025,-1.4042,Southampton
52.9561,-1.1512,Nottingham
51.4536,-2.5975,Bristol
53.4790,-2.2452,Manchester
53.4094,-2.9785,Liverpool
52.6344,-1.1319,Leicester
50.8147,-0.3714,Worthing
52.4081,-1.5106,Coventry
54.5964,-5.9300,Belfast
53.8000,-1.7500,Bradford
52.9247,-1.4780,Derby
50.3714,-4.1422,Plymouth
51.4947,-0.1353,Westminster
52.5833,-2.1333,Wolverhampton
52.2304,-0.8938,Northampton
52.6286,1.2928,Norwich
51.8783,-0.4147,Luton
52.4130,-1.7780,Solihull
51.5440,-0.1027,Islington
57.1500,-2.1100,Aberdeen
51.3727,-0.1099,Croydon
50.7200,-1.8800,Bournemouth
51.5800,0.4900,Basildon
51.2720,0.5290,Maidstone
51.5575,0.0858,Ilford
53.3900,-2.5900,Warrington
51.7500,-1.2500,Oxford
51.5836,-0.3464,Harrow
52.5190,-1.9950,West Bromwich
51.8667,-2.2500,Gloucester
53.9600,-1.0800,York
53.8142,-3.0503,Blackpool
53.4083,-2.1494,Stockport
53.4240,-2.3220,Sale
51.5975,-0.0681,Tottenham
52.2053,0.1192,Cambridge
51.5768,0.1801,Romford
51.8917,0.9030,Colchester
51.6287,-0.7482,High Wycombe
54.9556,-1.6000,Gateshead
51.5084,-0.5881,Slough
53.7480,-2.4820,Blackburn
51.7300,0.4800,Chelmsford
53.6100,-2.1600,Rochdale
53.4300,-1.3570,Rotherham
51.5840,-0.0210,Walthamstow
51.2667,-1.0876,Basingstoke
