Latitude,Longitude,LocationName
51.063751,-0.327,Horsham
51.507351,-0.127758,London
55.864239,-4.251806,Glasgow
53.4808,-2.2426,Manchester
52.4862,-1.8904,Birmingham
55.8642,-4.2518,Glasgow
55.9533,-3.1883,Edinburgh
53.4084,-2.9916,Liverpool
51.4545,-2.5879,Bristol
51.4816,-3.1791,Cardiff
54.5973,-5.9301,Belfast
54.9783,-1.6178,Newcastle upon Tyne
53.8008,-1.5491,Leeds
53.3811,-1.4701,Sheffield
52.9548,-1.1581,Nottingham
52.6369,-1.1398,Leicester
50.9097,-1.4044,Southampton
51.2333,-1.0833,Portsmouth
57.1496,-2.0991,Aberdeen
56.4620,-2.9707,Dundee
51.6214,-3.9436,Swansea
53.9591,-1.0815,York
